GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Projeto-Seplag,br.gov.mt.seplag.config,CorsConfig,23,69,2,2,5,14,2,2,0,2
Projeto-Seplag,br.gov.mt.seplag.config,WebMvcConfig,0,38,0,0,0,5,0,2,0,2
Projeto-Seplag,br.gov.mt.seplag.config,RateLimitConfig,12,41,0,2,2,11,1,6,1,5
Projeto-Seplag,br.gov.mt.seplag.config,MinioConfig,21,45,1,1,7,15,1,3,0,3
Projeto-Seplag,br.gov.mt.seplag.config,OpenAPIConfig,0,70,0,0,0,24,0,2,0,2
Projeto-Seplag,br.gov.mt.seplag.config,SecurityConfig,0,121,0,0,0,26,0,12,0,12
Projeto-Seplag,br.gov.mt.seplag.config,WebSocketConfig,0,42,0,0,0,9,0,3,0,3
Projeto-Seplag,br.gov.mt.seplag.config,JacksonConfig,0,19,0,0,0,5,0,2,0,2
Projeto-Seplag,br.gov.mt.seplag.service,AuthService,12,254,0,10,2,64,1,15,1,10
Projeto-Seplag,br.gov.mt.seplag.service,NotificationService,133,10,0,0,46,2,6,2,6,2
Projeto-Seplag,br.gov.mt.seplag.service,AlbumCoverService,2,348,4,16,1,86,4,20,0,14
Projeto-Seplag,br.gov.mt.seplag.service,ArtistService,0,177,0,0,0,46,0,13,0,13
Projeto-Seplag,br.gov.mt.seplag.service,AlbumService,71,295,1,3,23,78,5,17,4,16
Projeto-Seplag,br.gov.mt.seplag.service,RegionalService.SyncResult,35,0,0,0,7,0,2,0,2,0
Projeto-Seplag,br.gov.mt.seplag.service,RegionalService,368,24,32,0,100,7,23,2,7,2
Projeto-Seplag,br.gov.mt.seplag.security,CustomUserDetailsService,10,34,0,0,2,8,1,3,1,3
Projeto-Seplag,br.gov.mt.seplag.security,JwtService,0,120,1,3,0,28,1,12,0,11
Projeto-Seplag,br.gov.mt.seplag.security,JwtAuthenticationFilter,41,81,7,9,15,19,7,4,1,2
Projeto-Seplag,br.gov.mt.seplag.security,RateLimitInterceptor,54,70,5,7,11,17,5,6,0,5
Projeto-Seplag,br.gov.mt.seplag,ProjetoSeplagApplication,5,3,0,0,2,1,1,1,1,1
Projeto-Seplag,br.gov.mt.seplag.exception,BadRequestException,0,4,0,0,0,2,0,1,0,1
Projeto-Seplag,br.gov.mt.seplag.exception,ResourceNotFoundException,19,4,0,0,2,2,1,1,1,1
Projeto-Seplag,br.gov.mt.seplag.exception,GlobalExceptionHandler,168,99,0,2,51,29,6,5,6,4
Projeto-Seplag,br.gov.mt.seplag.exception,UnauthorizedException,0,4,0,0,0,2,0,1,0,1
Projeto-Seplag,br.gov.mt.seplag.controller,AuthController,0,30,0,0,0,7,0,4,0,4
Projeto-Seplag,br.gov.mt.seplag.controller,ArtistController,58,13,0,0,14,3,7,2,7,2
Projeto-Seplag,br.gov.mt.seplag.controller,AlbumController,119,6,4,0,26,1,11,1,9,1
Projeto-Seplag,br.gov.mt.seplag.controller,RegionalController,55,6,0,0,15,1,5,1,5,1
Projeto-Seplag,br.gov.mt.seplag.controller,AlbumCoverController,36,6,0,0,8,1,4,1,4,1
